id1,id2,level,description
1031,1019,Low,관절 건강 시너지
1019,1020,Low,관절 통증 완화 목적 병용 흔함
1068,1019,Low,관절 시너지 효과
1068,1020,Low,특이 상호작용 없음
1008,1009,Moderate,미네랄 흡수 경쟁
1008,1010,Low,미량원소 병용 안전
1010,1045,Moderate,항산화제 축적 주의
1010,1011,Low,특이 상호작용 없음
1032,1033,Low,눈 건강 시너지
1034,1032,Low,항산화 상승
1034,1033,Low,특이 상호작용 없음
1035,1040,Low,간 해독 보조
1035,1039,Low,간 보호 시너지
1037,1002,Low,면역 강화 목적 병용
1037,1008,Moderate,위장 자극 가능
1038,1071,Moderate,경미한 항응고 증가
1071,1073,Moderate,위장 불편 가능
1025,1075,Low,항산화 상승
1048,1018,Low,염증 억제 시너지
1021,1005,Low,메틸화 경로 보조
1027,1052,Low,스트레스 완화 강화
31,1046,High,항응고 효과 상쇄
31,1003,High,항응고 효과 상쇄
31,1001,Moderate,칼슘 대사 변화로 INR 변동 가능
31,1011,High,출혈 위험 증가
31,1026,High,심각한 출혈 위험
31,1038,High,출혈 위험 증가
31,1018,High,항응고 상승 효과
31,88,Moderate,와파린 효과 감소 가능
31,82,High,효소 유도로 INR 감소
31,1056,High,Ginseng이 INR 감소
31,1039,Moderate,INR 변동 보고
31,1019,Moderate,출혈 경향 보고
31,1020,Moderate,출혈 경향 보고
31,1002,Low,고용량 시 INR 영향 경미
31,1058,Low,특이 상호작용 없음
31,1007,Low,특이 상호작용 없음
31,1022,Low,특이 상호작용 없음
31,1014,Low,특이 상호작용 없음
31,1081,High,출혈 위험
31,1073,High,항응고 효과 증가
3,1011,High,출혈 위험
3,1045,High,혈소판 억제 시너지
3,1026,High,출혈 위험 증가
3,1038,High,출혈 위험 증가
3,1018,High,항응고 상승
3,1039,Moderate,위장 장애 증가
3,1048,Moderate,혈소판 억제 시너지
3,1002,Low,특이 상호작용 없음
3,1046,Moderate,응고 인자 영향
3,1014,Low,위장 보호 효과
3,1031,Low,특이 상호작용 없음
3,1009,Moderate,위장 출혈 위험 상승
2,1011,High,출혈 및 위장 장애
2,1075,Moderate,약효 변동 가능성
2,1018,Moderate,위 점막 자극
2,1073,Moderate,위 점막 자극
2,1038,High,출혈 위험 증가
2,1007,Low,위장 흡수 지연
2,1039,Low,간 보호 효과 보고
2,1002,Low,특이 상호작용 없음
2,1026,High,출혈 위험 증가
2,82,Moderate,효소 유도에 의한 약효 저하
35,1007,Moderate,저마그네슘혈증 위험
35,1009,Moderate,철 흡수 저해
35,1004,Moderate,장기 복용 시 결핍
35,1006,Low,흡수 증진 목적 병용
35,1001,Low,특이 상호작용 없음
35,1014,Low,장내 미생물 보호
28,1013,Low,스타틴 유발 근통 완화
28,1001,Low,특이 상호작용 없음
28,1071,Moderate,CYP3A4 억제로 농도 상승
28,1011,Low,중성지방 개선 시너지
28,1045,Low,항산화 보조
28,1038,Moderate,근육통 가능성
29,1013,Low,근육통 완화
29,1001,Low,특이 상호작용 없음
29,1011,Low,지질 개선 시너지
29,1018,Moderate,CYP3A4 억제
29,1048,Low,항산화 보조
29,1007,Low,근육 경련 완화
52,82,High,효능 감소
52,1056,Moderate,혈중 농도 변동
52,1007,Moderate,부정맥 위험
52,1006,High,고칼슘혈증 독성
52,1024,Moderate,흡수 감소
52,1014,Low,특이 상호작용 없음
51,1006,High,흡수 저해
51,1009,High,흡수 저해
51,78,Moderate,흡수 저해
51,1030,High,흡수 저해
51,1024,High,흡수 저해
51,1002,Low,동시 복용 문제 없음
11,1006,High,퀴놀론 흡수 감소
11,1007,High,흡수 감소
11,1008,High,흡수 감소
11,1009,High,흡수 감소
11,1030,High,흡수 감소
11,1015,High,흡수 감소
40,82,High,세로토닌 증후군
40,1053,High,세로토닌 증후군
40,1052,Low,불안 완화 시너지
40,1026,Moderate,출혈 위험 증가
40,1007,Low,특이 상호작용 없음
40,1011,Low,우울 개선 시너지
41,82,High,세로토닌 증후군
41,1053,High,세로토닌 과다
41,1022,Low,수면 보조
41,1052,Low,불안 완화
41,1056,Moderate,흥분 및 불면
41,1011,Low,기분 개선 보조
48,1005,High,항암 효과 감소
48,1044,High,간독성 상승
48,1001,Moderate,칼슘 대사 혼란
48,1014,Low,장내 문제 감소
48,1059,Low,산화 스트레스 완화
46,1030,Moderate,골다공증 예방
46,1011,Low,염증 완화
46,1014,Low,위장 보호
46,1002,Low,면역 억제 보조
46,1001,Low,골밀도 보조
